Gene_ID,352_E1,352_E2,352_E3,352_E6,354_E1,354_E2,354_E3,354_E6,366_E1,366_E2,366_E3,366_E6,371_E1,371_E2,371_E3,371_E6,373_E1,373_E2,373_E3,373_E6,379_E1,379_E2,379_E3,379_E6,380_E1,380_E2,380_E3,380_E6,381_E1,381_E2,381_E3,381_E6,382_E1,382_E2,382_E3,382_E6,383_E1,383_E2,383_E6,387_E1,387_E2,387_E3,387_E6,388_E1,388_E2,388_E3,388_E6,391_E1,391_E2,391_E3,391_E6,394_E1,394_E2,394_E3,394_E6,396_E1,396_E2,396_E3,396_E6,406_E1,406_E2,406_E3,406_E6,407_E1,407_E2,407_E3,407_E6,408_E1,408_E2,408_E3,408_E6,409_E1,409_E2,409_E3,409_E6,410_E1,410_E2,410_E3,410_E6,413_E1,413_E2,413_E3,413_E6,415_E1,415_E2,415_E3,415_E6,416_E1,416_E2,416_E3,416_E6,421_E1,421_E3,421_E6,428_E1,428_E2,429_E1,429_E2,429_E3,429_E6,437_E1,437_E2,437_E3,437_E6,438_E1,438_E2,438_E3,438_E6,442_E1,442_E2,442_E3,442_E6,445_E1,445_E2
hsa-miR-6808-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6808-5p,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,66,0,109,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,1,0,6,0,0,0,2,0,0,0,0,0,0,78,6,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,150,0,0,1,1,0,0,0,0,0,1,0,0,0,0
hsa-miR-6809-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6809-5p,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,94,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,97,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6810-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6810-5p,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,340,0,0,1,0,0,2,0,0,0,0,0,1,0,1,268,0,0,0,0,74
hsa-miR-6811-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6811-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
hsa-miR-6812-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6812-5p,1,36,0,0,9,0,0,0,0,0,1,0,1,0,6,0,76,1,4,243,0,0,0,0,0,0,2,0,2,92,0,0,483,7,0,1,13,8,1,3,0,2,0,1,0,60,4,44,4,2,51,1,3,1,123,0,1,0,3,2,1,0,0,0,16,270,16,0,0,0,2,1,13,2,1,52,0,0,0,1,0,1,236,43,25,0,20,3,0,0,0,0,1,0,37,161,0,10,0,2,0,0,3,8,272,1,1,167,1,2,0,0,180,60
