Timepoint,miRNA,baseMean,log2FoldChange,padj
Post-AAE vs Pre-AAE,hsa-miR-4523,157.2,-1.55,0.047
Post-AAE vs Pre-AAE,hsa-miR-4804-5p,27.5,-1.77,0.047
Post-AAE vs Pre-AAE,hsa-miR-6758-5p,24.4,-1.91,0.048
Post-AAE vs Pre-AAE,hsa-miR-8056,25.8,-1.78,0.048
Post-AAE vs Pre-AAE,hsa-miR-940,95.5,-1.64,0.048
Post-AAE vs Pre-AAE,hsa-miR-1911-5p,48.3,-2.01,0.05
Post-AAE vs Pre-AAE,hsa-miR-4685-5p,199,-1.73,0.05
Post-AAE vs Pre-AAE,hsa-miR-4467,34.5,-1.95,0.052
Post-AAE vs Pre-AAE,hsa-miR-1303,38,-2.01,0.054
Post-AAE vs Pre-AAE,hsa-miR-6808-5p,103.6,-1.37,0.054
Post-AAE vs Pre-AAE,hsa-miR-10526-3p,272.6,-0.9,0.057
Post-AAE vs Pre-AAE,hsa-miR-3156-5p,67.2,-1.59,0.057
Post-AAE vs Pre-AAE,hsa-miR-3196,90.8,-1.39,0.057
Post-AAE vs Pre-AAE,hsa-miR-33b-3p,43.6,-1.73,0.057
Post-AAE vs Pre-AAE,hsa-miR-3616-3p,44.4,-2,0.057
Post-AAE vs Pre-AAE,hsa-miR-4769-3p,53.8,-1.66,0.057
Post-AAE vs Pre-AAE,hsa-miR-596,27.2,-1.86,0.057
Post-AAE vs Pre-AAE,hsa-miR-6732-5p,73.9,-1.06,0.057
Post-AAE vs Pre-AAE,hsa-miR-6783-3p,37.3,-1.46,0.057
Post-AAE vs Pre-AAE,hsa-miR-6831-5p,56.3,-1.16,0.057
Post-AAE vs Pre-AAE,hsa-miR-6879-5p,34,-1.37,0.057
Post-AAE vs Pre-AAE,hsa-miR-6887-5p,74.7,-1.49,0.057
Post-AAE vs Pre-AAE,hsa-miR-196a-1-3p,92.9,-1.67,0.058
Post-AAE vs Pre-AAE,hsa-miR-25-3p,49.2,-2.08,0.058
Post-AAE vs Pre-AAE,hsa-miR-4758-3p,64.9,-1.59,0.058
Post-AAE vs Pre-AAE,hsa-miR-4767,98.3,-1.64,0.058
Post-AAE vs Pre-AAE,hsa-miR-6511b-5p,113.7,-1.26,0.058
Post-AAE vs Pre-AAE,hsa-miR-652-5p,30.3,-1.78,0.058
Post-AAE vs Pre-AAE,hsa-miR-4772-3p,23.5,-1.99,0.059
Post-AAE vs Pre-AAE,hsa-miR-711,41.5,-1.55,0.06
Post-AAE vs Pre-AAE,hsa-miR-6741-5p,205.3,-1.28,0.061
Post-AAE vs Pre-AAE,hsa-miR-1295b-3p,35.3,-1.71,0.065
Post-AAE vs Pre-AAE,hsa-miR-3928-3p,45.7,1.84,0.065
Post-AAE vs Pre-AAE,hsa-miR-4313,104.4,-1.64,0.065
Post-AAE vs Pre-AAE,hsa-miR-4758-5p,239.7,-1.25,0.065
Post-AAE vs Pre-AAE,hsa-miR-6742-5p,34.3,-1.93,0.065
Post-AAE vs Pre-AAE,hsa-miR-6769a-3p,40,-1.47,0.065
